name	party	state	id
MARCELO ÁLVARO ANTÔNIO	PSL	Minas Gerais	235
MARCIO ALVINO	PL	São Paulo	370
MARCO BERTAIOLLI	PSD	São Paulo	369
MARCON	PT	Rio Grande do Sul	507
MARCOS AURÉLIO SAMPAIO	MDB	Piauí	115
MARCOS PEREIRA	Republica	São Paulo	373
MARCOS SOARES	DEM	Rio de Janeiro	574
MARGARETE COELHO	PP	Piauí	117
MARIA DO ROSÁRIO	PT	Rio Grande do Sul	508
MARIA ROSAS	Republica	São Paulo	374
MARIANA CARVALHO	PSDB	Rondonia	51
MARINA SANTOS	Solidarie	Piauí	118
MARLON SANTOS	PDT	Rio Grande do Sul	509
MARRECA FILHO	Patriota	Maranhão	83
MARX BELTRÃO	PSD	Alagoas	169
MARÍLIA ARRAES	PT	Pernambuco	151
MAURO LOPES	MDB	Minas Gerais	252
MAURO NAZIF	PSB	Rondonia	49
MAURÍCIO DZIEDRICKI	PTB	Rio Grande do Sul	511
MERLONG SOLANO	PT	Piauí	540
MIGUEL LOMBARDI	PL	São Paulo	378
MILTON COELHO	PSB	Pernambuco	569
MILTON VIEIRA	Republica	São Paulo	375
MISAEL VARELLA	PSD	Minas Gerais	245
MOSES RODRIGUES	MDB	Ceará	106
MÁRCIO BIOLCHI	MDB	Rio Grande do Sul	515
MÁRCIO LABRE	PSL	Rio de Janeiro	316
MÁRCIO MARINHO	Republica	Bahia	212
MÁRIO HERINGER	PDT	Minas Gerais	239
MÁRIO NEGROMONTE JR.	PP	Bahia	208
NATÁLIA BONAVIDES	PT	Rio Grande do Norte	126
NELSON BARBUDO	PSL	Mato Grosso	405
NEREU CRISPIM	PSL	Rio Grande do Sul	512
NERI GELLER	PP	Mato Grosso	406
NEUCIMAR FRAGA	PSD	Espírito Santo	572
NEWTON CARDOSO JR	MDB	Minas Gerais	247
NICOLETTI	PSL	Roraima	6
NILSON PINTO	PSDB	Pará	31
NILTO TATTO	PT	São Paulo	382
NIVALDO ALBUQUERQUE	PTB	Alagoas	166
NORMA AYUB	DEM	Espírito Santo	282
NORMA PEREIRA	PSDB	Santa Catarina	579
ODAIR CUNHA	PT	Minas Gerais	269
ODORICO MONTEIRO	PSB	Ceará	582
OLIVAL MARQUES	DEM	Pará	30
ORLANDO SILVA	PCdoB	São Paulo	386
OSIRES DAMASO	PSC	Tocantins	64
OSMAR TERRA	MDB	Rio Grande do Sul	497
OSSESIO SILVA	Republica	Pernambuco	152
OTAVIO LEITE	PSDB	Rio de Janeiro	575
OTONI DE PAULA	PSC	Rio de Janeiro	317
OTTACI NASCIMENTO	Solidarie	Roraima	7
OTTO ALENCAR FILHO	PSD	Bahia	206
PADRE JOÃO	PT	Minas Gerais	259
PASTOR EURICO	Patriota	Pernambuco	155
PASTOR GIL	PL	Maranhão	84
PASTOR SARGENTO ISIDÓRIO	Avante	Bahia	207
PATRUS ANANIAS	PT	Minas Gerais	249
PAULA BELMONTE	Cidadania	Distrito Federal	414
PAULO ABI-ACKEL	PSDB	Minas Gerais	263
PAULO AZI	DEM	Bahia	215
PAULO BENGTSON	PTB	Pará	34
PAULO EDUARDO MARTINS	PSC	Paraná	458
PAULO FREIRE COSTA	PL	São Paulo	380
PAULO GANIME	Novo	Rio de Janeiro	318
PAULO GUEDES	PT	Minas Gerais	260
PAULO MAGALHÃES	PSD	Bahia	538
PAULO PEREIRA DA SILVA	Solidarie	São Paulo	372
PAULO PIMENTA	PT	Rio Grande do Sul	513
PAULO RAMOS	PDT	Rio de Janeiro	319
PAULO TEIXEIRA	PT	São Paulo	376
PAULO VICENTE CALEFFI	PSD	Rio Grande do Sul	584
PAULÃO	PT	Alagoas	170
PEDRO AUGUSTO BEZERRA	PTB	Ceará	104
PEDRO AUGUSTO PALARETI	PSD	Rio de Janeiro	573
PEDRO CUNHA LIMA	PSDB	Paraíba	135
PEDRO LUCAS FERNANDES	PTB	Maranhão	85
PEDRO LUPION	DEM	Paraná	461
PEDRO PAULO	DEM	Rio de Janeiro	314
PEDRO UCZAI	PT	Santa Catarina	481
PEDRO VILELA	PSDB	Alagoas	571
PEDRO WESTPHALEN	PP	Rio Grande do Sul	514
PERPÉTUA ALMEIDA	PCdoB	Acre	58
PINHEIRINHO	PP	Minas Gerais	261
POLICIAL KATIA SASTRE	PL	São Paulo	377
POMPEO DE MATTOS	PDT	Rio Grande do Sul	516
PR. MARCO FELICIANO	Republica	São Paulo	379
PROFESSOR ALCIDES	PP	Goiás	432
PROFESSOR ISRAEL BATISTA	PV	Distrito Federal	415
PROFESSOR JOZIEL	PSL	Rio de Janeiro	320
PROFESSORA DAYANE PIMENTEL	PSL	Bahia	210
PROFESSORA DORINHA SEABRA REZEN	DEM	Tocantins	67
